agents,map_file,solver,solved,soc,soc_lb,makespan,makespan_lb,sum_of_loss,sum_of_loss_lb,comp_time,seed,Opti_Deadline,Bool_Opti,Experiment_Number
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,4,0,9,False,3
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,4,0,9,False,4
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,9,False,5
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,9,False,6
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,9,False,7
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,4,0,9,False,8
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,4,0,9,False,9
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,9,False,10
150,random-32-32-20.map,planner,1,5294,3398,79,49,4612,3398,962,0,9,True,1
150,random-32-32-20.map,planner,1,5294,3398,79,49,4612,3398,991,0,9,True,2
150,random-32-32-20.map,planner,1,5294,3398,79,49,4612,3398,978,0,9,True,3
150,random-32-32-20.map,planner,1,5294,3398,79,49,4612,3398,1014,0,9,True,4
150,random-32-32-20.map,planner,1,5294,3398,79,49,4612,3398,982,0,9,True,5
150,random-32-32-20.map,planner,1,5294,3398,79,49,4612,3398,968,0,9,True,6
150,random-32-32-20.map,planner,1,5294,3398,79,49,4612,3398,1001,0,9,True,7
150,random-32-32-20.map,planner,1,5294,3398,79,49,4612,3398,972,0,9,True,8
150,random-32-32-20.map,planner,1,5294,3398,79,49,4612,3398,993,0,9,True,9
150,random-32-32-20.map,planner,1,5294,3398,79,49,4612,3398,981,0,9,True,10
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,10,False,1
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,10,False,2
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,10,False,3
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,10,False,4
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,10,False,5
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,10,False,6
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,10,False,7
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,10,False,8
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,10,False,9
150,random-32-32-20.map,planner,1,5732,3398,64,49,5014,3398,3,0,10,False,10
150,random-32-32-20.map,planner,1,5294,3398,79,49,4612,3398,1023,0,10,True,1
150,random-32-32-20.map,planner,1,5294,3398,79,49,4612,3398,988,0,10,True,2
150,random-32-32-20.map,planner,1,5080,3398,69,49,4486,3398,1022,0,10,True,3
150,random-32-32-20.map,planner,1,5474,3398,95,49,4596,3398,8212,0,10,True,4
150,random-32-32-20.map,planner,1,5294,3398,79,49,4612,3398,1075,0,10,True,5
150,random-32-32-20.map,planner,1,5294,3398,79,49,4612,3398,1063,0,10,True,6
150,random-32-32-20.map,planner,1,5294,3398,79,49,4612,3398,1037,0,10,True,7
150,random-32-32-20.map,planner,1,5294,3398,79,49,4612,3398,1005,0,10,True,8
150,random-32-32-20.map,planner,1,5080,3398,69,49,4486,3398,1025,0,10,True,9
150,random-32-32-20.map,planner,1,5080,3398,69,49,4486,3398,1019,0,10,True,10
